step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,146.257,0.01,Rick,0.0,0.0,106.505,,0.0,0.0,0.0,0.0,0.0,0.0,,106.505
2.0,150.196,0.01,Rick,0.0,0.0,98.842,,False,False,False,False,False,False,,98.842
3.0,154.223,0.01,Rick,0.0,0.0,89.67,,False,False,False,False,False,False,,89.67
4.0,158.338,0.0,Rick,0.0,0.0,78.9,,False,False,False,False,False,False,,78.9
5.0,162.541,0.01,Rick,0.0,0.0,66.442,,False,False,False,False,False,False,,66.442
6.0,166.832,0.0,Rick,0.0,0.0,52.204,,False,False,False,False,False,False,,52.204
7.0,171.211,0.01,Rick,0.0,0.0,36.089,,False,False,False,False,False,False,,36.089
8.0,175.679,0.0,Rick,0.0,0.0,18.003,,False,False,False,False,False,False,,18.003
9.0,180.234,0.0,Rick,0.0,0.0,-2.154,,False,False,False,False,False,False,,-2.154
10.0,185.067,0.0,Rick,0.0,0.0,-25.432,,False,False,False,False,False,False,,-25.432
11.0,189.791,0.0,Rick,0.0,0.0,-50.066,,False,False,False,False,False,False,,-50.066
12.0,194.783,0.0,Rick,0.0,0.0,-78.123,,False,False,False,False,False,False,,-78.123
13.0,199.676,0.01,Rick,0.0,0.0,-107.635,,False,False,False,False,False,False,,-107.635
14.0,204.827,0.0,Rick,0.0,0.0,-140.866,,False,False,False,False,False,False,,-140.866
15.0,209.888,0.01,Rick,0.0,0.0,-175.671,,False,False,False,False,False,False,,-175.671
16.0,215.199,0.0,Rick,0.0,0.0,-214.487,,False,False,False,False,False,False,,-214.487
17.0,220.428,0.0,Rick,0.0,0.0,-255.012,,False,False,False,False,False,False,,-255.012
18.0,225.898,0.0,Rick,0.0,0.0,-299.836,,False,False,False,False,False,False,,-299.836
19.0,231.296,0.0,Rick,0.0,0.0,-346.523,,False,False,False,False,False,False,,-346.523
20.0,236.925,0.0,Rick,0.0,0.0,-397.791,,False,False,False,False,False,False,,-397.791
21.0,242.492,0.0,Rick,0.0,0.0,-451.097,,False,False,False,False,False,False,,-451.097
22.0,248.28,0.01,Rick,0.0,0.0,-509.258,,False,False,False,False,False,False,,-509.258
23.0,254.016,0.0,Rick,0.0,0.0,-569.653,,False,False,False,False,False,False,,-569.653
24.0,259.964,0.0,Rick,0.0,0.0,-635.171,,False,False,False,False,False,False,,-635.171
25.0,265.868,0.0,Rick,0.0,0.0,-703.138,,False,False,False,False,False,False,,-703.138
26.0,271.975,0.0,Rick,0.0,0.0,-776.488,,False,False,False,False,False,False,,-776.488
27.0,278.049,0.01,Rick,0.0,0.0,-852.526,,False,False,False,False,False,False,,-852.526
28.0,284.315,0.0,Rick,0.0,0.0,-934.198,,False,False,False,False,False,False,,-934.198
29.0,290.558,0.01,Rick,0.0,0.0,-1018.82,,False,False,False,False,False,False,,-1018.82
30.0,296.983,0.0,Rick,0.0,0.0,-1109.315,,False,False,False,False,False,False,,-1109.315
31.0,303.395,0.01,Rick,0.0,0.0,-1203.049,,False,False,False,False,False,False,,-1203.049
32.0,309.98,0.01,Rick,0.0,0.0,-1302.883,,False,False,False,False,False,False,,-1302.883
33.0,316.561,0.0,Rick,0.0,0.0,-1406.268,,False,False,False,False,False,False,,-1406.268
34.0,323.305,0.01,Rick,0.0,0.0,-1515.971,,False,False,False,False,False,False,,-1515.971
35.0,330.055,0.01,Rick,0.0,0.0,-1629.564,,False,False,False,False,False,False,,-1629.564
